,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,KM/yr
756,Honda Jazz VX,Kochi,2018,20024,Petrol,Manual,First,18.2,1199.0,88.7,5.0,8.46,4004.8
757,Toyota Etios G,Kolkata,2013,42103,Petrol,Manual,First,16.78,1496.0,88.73,5.0,3.25,4210.3
758,Maruti Alto LXi BSIII,Hyderabad,2012,67147,Petrol,Manual,First,19.7,796.0,46.3,5.0,2.6,6104.27
759,Maruti Swift VXI BSIV,Coimbatore,2016,37806,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5.2,5400.86
760,Maruti A-Star Vxi,Pune,2009,85000,Petrol,Manual,Third,19.0,998.0,66.1,5.0,1.8,6071.43
761,Tata Nano Lx BSIV,Chennai,2011,35000,Petrol,Manual,First,25.4,624.0,37.48,4.0,1.6,2916.67
762,Ford Figo Titanium Diesel,Kolkata,2015,72035,Diesel,Manual,First,25.5,1498.0,99.0,5.0,2.5,9004.38
763,Fiat Linea Emotion,Jaipur,2011,48500,Petrol,Manual,First,16.0,1368.0,90.0,5.0,2.5,4041.67
764,Ford Figo Aspire 1.2 Ti-VCT Trend,Coimbatore,2017,28854,Petrol,Manual,First,18.16,1196.0,86.8,5.0,6.7,4809.0
765,Maruti Baleno LXI,Hyderabad,2005,92450,Petrol,Manual,First,15.4,1590.0,94.0,5.0,1.2,5136.11
766,BMW 3 Series 320d Luxury Line,Coimbatore,2016,14351,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,35.55,2050.14
767,Chevrolet Cruze LTZ,Jaipur,2017,51087,Diesel,Manual,First,17.9,1998.0,163.7,5.0,7.75,8514.5
768,Mahindra Scorpio 2.6 DX,Chennai,2005,50000,Diesel,Manual,First,12.7,2609.0,116.6,8.0,1.94,2777.78
769,Tata Indica V2 eLS,Hyderabad,2016,73000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.2,10428.57
770,Chevrolet Cruze LTZ AT,Ahmedabad,2011,60000,Diesel,Automatic,First,18.1,1991.0,147.9,4.0,3.8,5000.0
771,Toyota Innova 2.5 V Diesel 8-seater,Chennai,2016,50000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,15.65,7142.86
772,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,36797,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39.47,7359.4
773,Maruti Ritz VXi,Kolkata,2011,50000,Petrol,Manual,Second,18.5,1197.0,85.8,5.0,1.5,4166.67
774,Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,Ahmedabad,2013,94000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,8.85,9400.0
775,Toyota Fortuner 4x4 MT,Bangalore,2013,74000,Diesel,Manual,Second,12.55,2982.0,168.5,7.0,17.9,7400.0
776,Hyundai i10 Sportz AT,Coimbatore,2014,41016,Petrol,Automatic,Second,16.95,1197.0,78.9,5.0,5.08,4557.33
777,Hyundai Verna 1.6 SX,Bangalore,2012,67000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,6.25,6090.91
778,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Bangalore,2015,76927,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,22.75,9615.88
779,Chevrolet Beat LS,Kolkata,2010,17088,Petrol,Manual,First,18.6,1199.0,79.4,5.0,1.46,1314.46
780,Ford Fiesta 1.4 Duratorq ZXI,Pune,2007,112808,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,2.05,7050.5
781,Ford Figo Diesel EXI,Coimbatore,2014,74980,Diesel,Manual,First,20.0,1399.0,68.0,5.0,4.08,8331.11
782,Maruti Celerio VXI AT,Hyderabad,2014,44600,Petrol,Automatic,First,23.1,998.0,67.04,5.0,4.55,4955.56
783,Mercedes-Benz A Class A180 CDI,Mumbai,2013,37000,Diesel,Automatic,First,20.0,2143.0,107.3,5.0,14.0,3700.0
784,Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,Petrol,Manual,First,15.8,1591.0,121.3,5.0,10.9,3000.0
785,Maruti Wagon R VXI BS IV,Bangalore,2010,81245,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45,6249.62
786,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Delhi,2013,70000,Diesel,Automatic,First,10.0,2148.0,170.0,5.0,15.8,7000.0
787,Ford EcoSport 1.5 Ti VCT MT Titanium BE,Mumbai,2017,4018,Petrol,Manual,First,18.88,1499.0,110.4,5.0,8.25,669.67
788,Renault Koleos 2.0 Diesel,Delhi,2013,70000,Diesel,Automatic,Second,13.73,1995.0,148.0,5.0,8.5,7000.0
789,Mahindra XUV500 W10 2WD,Coimbatore,2016,56532,Diesel,Manual,First,16.0,2179.0,140.0,7.0,15.54,8076.0
790,Maruti Omni E 8 Str STD,Hyderabad,2013,26875,Petrol,Manual,First,16.8,796.0,34.2,8.0,2.35,2687.5
791,Maruti Wagon R VXI,Coimbatore,2015,72599,Petrol,Manual,First,22.5,998.0,67.04,5.0,4.32,9074.88
792,Ford Endeavour XLT TDCi 4X2,Jaipur,2008,205000,Diesel,Manual,Second,13.1,2499.0,141.0,7.0,3.9,13666.67
793,Hyundai Verna 1.6 SX,Hyderabad,2011,98000,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,5.2,8166.67
794,Hyundai i20 Magna 1.2,Mumbai,2018,19500,Petrol,Manual,First,18.6,1197.0,81.83,5.0,5.85,3900.0
795,Maruti Ertiga ZXI,Bangalore,2013,68000,Petrol,Manual,Second,16.02,1373.0,93.7,7.0,6.25,6800.0
796,Mahindra XUV500 W9 AT,Coimbatore,2019,19654,Diesel,Automatic,First,14.0,2179.0,155.0,7.0,17.63,4913.5
797,Maruti SX4 S Cross DDiS 200 Zeta,Mumbai,2017,26000,Diesel,Manual,First,23.65,1248.0,88.5,5.0,9.75,4333.33
798,Mercedes-Benz SLK-Class SLK 350,Bangalore,2015,10000,Petrol,Automatic,First,18.1,3498.0,306.0,2.0,55.0,1250.0
799,Volkswagen Polo Diesel Comfortline 1.2L,Hyderabad,2011,75020,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.1,6251.67
800,Toyota Fortuner 4x4 MT,Hyderabad,2011,157000,Diesel,Manual,First,12.55,2982.0,168.5,7.0,11.99,13083.33
801,Mahindra XUV500 W10 2WD,Kochi,2017,43773,Diesel,Manual,First,16.0,2179.0,140.0,7.0,13.54,7295.5
802,Mercedes-Benz GLE 250d,Mumbai,2016,21000,Diesel,Automatic,First,17.9,2143.0,201.15,5.0,56.0,3000.0
803,Honda Jazz 1.2 VX i VTEC,Chennai,2016,23280,Petrol,Manual,First,18.7,1199.0,88.7,5.0,6.5,3325.71
804,Maruti Swift Dzire VDI,Pune,2013,88000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.75,8800.0
805,Hyundai Verna 1.6 SX VTVT,Hyderabad,2014,67000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,5.6,7444.44
806,Ford Endeavour 3.2 Titanium AT 4X4,Coimbatore,2017,59636,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,29.2,9939.33
807,Hyundai i20 1.2 Asta Option,Kolkata,2018,11000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.35,2200.0
808,Honda City 1.5 V MT Sunroof,Mumbai,2013,60669,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4.95,6066.9
809,Honda Amaze VX Diesel,Hyderabad,2018,12000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,8.5,2400.0
810,Hyundai Verna 1.6 SX VTVT (O),Kolkata,2013,35000,Petrol,Manual,First,17.1,1591.0,121.3,5.0,4.5,3500.0
811,Honda Mobilio S i DTEC,Chennai,2015,65000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,5.5,8125.0
812,Maruti Ertiga ZDI,Kochi,2013,39929,Diesel,Manual,First,20.77,1248.0,88.8,7.0,6.56,3992.9
813,Maruti Alto K10 LXI,Pune,2014,49000,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.3,5444.44
814,Toyota Qualis FS B2,Pune,2004,77757,Diesel,Manual,Second,13.1,2446.0,75.0,10.0,3.5,4092.47
815,Hyundai i10 Sportz,Kochi,2016,21456,Petrol,Manual,First,20.36,1197.0,78.9,5.0,4.55,3065.14
816,Skoda Laura 1.9 TDI AT Ambiente,Bangalore,2009,74000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,7.75,5285.71
817,Hyundai i20 Asta Option 1.2,Mumbai,2015,37000,Petrol,Manual,Second,18.6,1197.0,81.83,5.0,5.25,4625.0
818,BMW 5 Series 2003-2012 530d Highline,Coimbatore,2013,108640,Diesel,Automatic,First,11.5,2993.0,235.0,5.0,23.29,10864.0
819,BMW 3 Series 320d M Sport,Mumbai,2016,38000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,23.99,5428.57
820,Chevrolet Aveo 1.4 LT ABS BSIV,Pune,2010,80000,Petrol,Manual,First,14.49,1399.0,92.7,5.0,1.79,6153.85
821,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Mumbai,2011,47000,Diesel,Automatic,Second,14.21,2143.0,203.0,5.0,13.9,3916.67
822,Audi A6 2011-2015 2.0 TDI Premium Plus,Kolkata,2013,31000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,18.95,3100.0
823,Maruti Wagon R LXI BS IV,Kolkata,2014,40000,Petrol,Manual,First,20.51,998.0,67.04,5.0,2.49,4444.44
824,Renault KWID RXT,Jaipur,2016,4152,Petrol,Manual,First,25.17,799.0,53.3,5.0,3.15,593.14
825,Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,Diesel,Manual,First,21.66,1498.0,108.62,5.0,6.45,8500.0
826,Volkswagen Polo Diesel Comfortline 1.2L,Ahmedabad,2013,55000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.25,5500.0
827,Maruti Alto 800 LXI,Hyderabad,2014,58500,Petrol,Manual,First,22.74,796.0,47.3,5.0,2.75,6500.0
828,Hyundai i20 Asta Option 1.2,Kochi,2017,58620,Petrol,Manual,First,18.6,1197.0,81.83,5.0,7.14,9770.0
830,Hyundai i20 1.2 Sportz,Jaipur,2012,71172,Petrol,Manual,Third,17.0,1197.0,80.0,5.0,3.5,6470.18
831,Hyundai i20 1.4 Asta,Chennai,2017,12000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,7.3,2000.0
832,Maruti Wagon R LXI Optional,Kolkata,2014,25000,Petrol,Manual,First,20.51,998.0,67.04,5.0,2.75,2777.78
833,Hyundai i20 1.4 Asta Option,Bangalore,2017,43000,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,8.2,7166.67
834,Volkswagen Polo GT TSI,Mumbai,2015,57022,Petrol,Automatic,First,17.21,1197.0,103.6,5.0,6.51,7127.75
835,Ford Figo Diesel Titanium,Pune,2015,92000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,4.25,11500.0
836,Maruti Swift ZXI,Coimbatore,2014,33372,Petrol,Manual,Second,18.6,1197.0,85.8,5.0,6.21,3708.0
837,Hyundai Grand i10 CRDi Magna,Kochi,2016,52625,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.58,7517.86
838,Mahindra Xylo H4,Chennai,2016,215000,Diesel,Manual,First,14.02,2179.0,118.3,7.0,7.5,30714.29
840,Hyundai i10 Magna 1.1,Coimbatore,2014,60138,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4.09,6682.0
841,Skoda Octavia Elegance 2.0 TDI AT,Mumbai,2014,84000,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,10.75,9333.33
842,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,47000,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,41.5,5222.22
843,Maruti Celerio VXI AT,Hyderabad,2014,33450,Petrol,Automatic,First,23.1,998.0,67.04,5.0,4.4,3716.67
844,Volkswagen Vento Diesel Comfortline,Jaipur,2013,125000,Diesel,Manual,Second,20.54,1598.0,103.6,5.0,6.25,12500.0
845,BMW 3 Series 320d Highline,Pune,2011,99606,Diesel,Automatic,Second,16.07,1995.0,181.0,5.0,10.5,8300.5
846,Maruti Ertiga ZDI,Mumbai,2014,64000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,7.25,7111.11
847,Ford Figo Diesel ZXI,Hyderabad,2013,51000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,3.2,5100.0
848,Volkswagen Polo 1.2 MPI Highline,Mumbai,2014,57000,Petrol,Manual,First,16.47,1198.0,74.0,5.0,3.95,6333.33
849,Audi A6 3.0 TDI quattro,Coimbatore,2009,48040,Diesel,Automatic,Second,16.77,2967.0,241.38,5.0,12.07,3431.43
850,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.6,7200.0
851,Hyundai Verna 1.6 CRDi EX AT,Delhi,2013,66000,Diesel,Automatic,First,22.32,1582.0,126.3,5.0,5.7,6600.0
852,Hyundai Santro Xing GL Plus,Kolkata,2013,31000,Petrol,Manual,First,17.92,1086.0,62.1,5.0,1.75,3100.0
853,Audi A4 2.0 TDI,Delhi,2011,46000,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,10.99,3833.33
854,Audi A4 2.0 TDI,Kolkata,2012,47346,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,14.5,4304.18
855,Skoda Laura 1.9 TDI MT Ambiente,Jaipur,2009,100000,Diesel,Manual,First,17.0,1896.0,105.0,5.0,3.11,7142.86
856,Honda CR-V 2.0L 2WD AT,Coimbatore,2015,63856,Petrol,Automatic,First,13.7,1997.0,153.86,5.0,13.96,7982.0
857,Hyundai Verna 1.6 SX CRDi (O),Coimbatore,2015,72996,Diesel,Manual,First,22.32,1582.0,126.32,5.0,7.11,9124.5
858,Honda Mobilio RS i DTEC,Chennai,2014,23000,Diesel,Manual,First,24.5,1498.0,98.6,7.0,6.9,2555.56
859,Hyundai i20 1.2 Asta Option,Coimbatore,2018,15985,Petrol,Manual,First,18.6,1197.0,81.83,5.0,7.77,3197.0
860,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Kolkata,2011,98000,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,5.5,8166.67
861,Hyundai i20 Magna 1.2,Hyderabad,2014,70089,Petrol,Manual,First,18.6,1197.0,81.83,5.0,5.35,7787.67
862,Mahindra Bolero VLX BS IV,Chennai,2011,99000,Diesel,Manual,Second,13.6,2523.0,63.0,7.0,4.5,8250.0
863,Volkswagen Vento 1.5 TDI Comfortline,Jaipur,2014,72000,Diesel,Manual,First,20.34,1498.0,103.2,5.0,4.75,8000.0
864,Jaguar XF 2.2 Litre Luxury,Coimbatore,2015,44194,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,32.8,5524.25
865,Maruti Zen LXi - BS III,Mumbai,2005,102000,Petrol,Manual,First,17.3,993.0,60.0,5.0,0.7,5666.67
866,Mercedes-Benz E-Class Facelift,Coimbatore,2018,56652,Diesel,Automatic,First,13.0,2987.0,258.0,5.0,50.29,11330.4
867,Toyota Fortuner 3.0 Diesel,Mumbai,2010,41650,Diesel,Manual,Second,11.5,2982.0,171.0,7.0,10.99,3203.85
868,Hyundai Grand i10 AT Asta,Coimbatore,2015,61717,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,5.57,7714.62
869,Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,Diesel,Manual,First,25.4,1186.0,73.97,5.0,5.9,5060.4
870,Hyundai Creta 1.6 VTVT S,Coimbatore,2016,47016,Petrol,Manual,First,15.29,1591.0,121.3,5.0,9.43,6716.57
871,Hyundai i10 Sportz,Bangalore,2010,69000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.9,5307.69
872,Honda Brio S MT,Delhi,2016,32700,Petrol,Manual,First,19.4,1198.0,86.8,5.0,3.68,4671.43
873,Toyota Fortuner 4x2 AT,Coimbatore,2015,101337,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,21.67,12667.12
874,Audi A4 2.0 TDI Multitronic,Ahmedabad,2011,59000,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,12.5,4916.67
875,Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.92,8347.2
876,Honda City i DTEC VX,Jaipur,2014,71649,Diesel,Manual,First,25.1,1498.0,98.6,5.0,6.75,7961.0
877,Honda City i DTEC VX,Kochi,2015,80606,Diesel,Manual,First,25.1,1498.0,98.6,5.0,6.96,10075.75
878,Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,Petrol,Manual,First,21.7,999.0,67.0,5.0,3.25,10543.67
879,Maruti Swift DDiS ZDI Plus,Hyderabad,2018,5456,Diesel,Manual,First,28.4,1248.0,74.0,5.0,8.65,1091.2
880,Maruti Celerio VXI Optional AMT,Pune,2017,7500,Petrol,Automatic,First,23.1,998.0,67.04,5.0,5.0,1250.0
881,Mahindra XUV500 W8 2WD,Delhi,2011,66000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,5.5,5500.0
882,Hyundai i10 Magna,Jaipur,2010,66770,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,2.6,5136.15
883,Hyundai i10 Magna 1.1,Kochi,2014,58472,Petrol,Manual,First,19.81,1086.0,68.05,5.0,3.41,6496.89
884,Maruti Dzire VXI,Kolkata,2011,46687,Petrol,Manual,First,22.0,1197.0,81.8,5.0,2.7,3890.58
885,Maruti Grand Vitara AT,Chennai,2008,77000,Petrol,Automatic,Fourth & Above,9.7,1995.0,163.5,5.0,5.5,5133.33
886,Audi TT 40 TFSI,Kolkata,2012,7000,Petrol,Automatic,First,14.33,1984.0,226.6,4.0,35.0,636.36
887,Mercedes-Benz New C-Class C 200 CGI,Mumbai,2011,48000,Petrol,Automatic,Second,14.74,1991.0,184.0,5.0,9.75,4000.0
888,Nissan Sunny 2011-2014 Diesel XV,Mumbai,2013,47000,Diesel,Manual,First,21.64,1461.0,84.8,5.0,4.25,4700.0
889,Maruti Wagon R LXI,Ahmedabad,2015,51530,Petrol,Manual,First,18.9,998.0,67.1,5.0,3.2,6441.25
890,Maruti Swift Dzire ZDI,Bangalore,2014,25789,Diesel,Manual,Second,23.4,1248.0,74.0,5.0,6.85,2865.44
891,Honda Amaze S i-Dtech,Delhi,2015,48000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,4.5,6000.0
892,Maruti Swift ZDI,Delhi,2012,52000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3.55,4727.27
894,Mahindra Scorpio LX 2.6 Turbo,Hyderabad,2008,131000,Diesel,Manual,First,10.5,2609.0,120.0,7.0,3.6,8733.33
895,Mercedes-Benz E-Class E250 CDI Avantgrade,Kochi,2015,42076,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,21.8,5259.5
896,Toyota Fortuner 4x2 Manual,Mumbai,2012,76000,Diesel,Manual,Second,13.0,2982.0,168.5,7.0,13.5,6909.09
897,Datsun redi-GO T Option,Bangalore,2016,20487,Petrol,Manual,First,22.7,799.0,53.64,5.0,2.66,2926.71
898,Honda City V MT,Delhi,2010,43000,Petrol,Manual,Second,16.8,1497.0,116.3,5.0,3.75,3307.69
899,Toyota Camry Hybrid,Pune,2018,17000,Petrol,Automatic,First,19.16,2494.0,158.2,5.0,32.0,3400.0
900,Honda City i DTec V,Coimbatore,2016,60805,Diesel,Manual,First,26.0,1498.0,98.6,5.0,8.07,8686.43
901,Volkswagen Jetta 2012-2014 2.0L TDI Trendline,Kochi,2012,58775,Diesel,Manual,First,19.33,1968.0,138.1,5.0,5.64,5343.18
902,Audi A6 2011-2015 2.0 TDI,Hyderabad,2013,70181,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,23.99,7018.1
903,Maruti Ertiga VDI,Coimbatore,2016,85827,Diesel,Manual,First,20.77,1248.0,88.76,7.0,7.5,12261.0
904,Mercedes-Benz New C-Class C 220 CDI Style,Jaipur,2016,58205,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,27.0,8315.0
905,Maruti Swift Dzire Vdi BSIV,Mumbai,2008,91000,Diesel,Manual,Second,19.3,1248.0,73.9,5.0,2.85,6066.67
906,Renault Duster 110PS Diesel RxZ Pack,Pune,2012,74000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,6.35,6727.27
907,Maruti Ritz VDi,Hyderabad,2010,79324,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3.3,6101.85
908,Maruti Swift Dzire VXI,Bangalore,2013,38623,Petrol,Manual,First,19.1,1197.0,85.8,5.0,5.0,3862.3
909,Maruti Swift ZDi,Coimbatore,2014,59923,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.46,6658.11
910,Hyundai EON Sportz,Jaipur,2017,23360,Petrol,Manual,First,21.1,814.0,55.2,5.0,3.75,3893.33
911,Maruti Zen VXI BSII,Kochi,2003,61495,Petrol,Manual,Third,17.3,993.0,60.0,5.0,1.52,3074.75
912,Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,Petrol,Manual,First,15.1,1196.0,73.0,7.0,3.61,5151.0
913,Audi Q5 30 TDI quattro Premium,Coimbatore,2017,40318,Diesel,Automatic,First,14.16,1968.0,174.3,5.0,43.74,6719.67
914,Audi Q3 2.0 TDI,Chennai,2014,60000,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,20.0,6666.67
916,Maruti Swift Dzire VDi,Hyderabad,2010,130000,Diesel,Manual,First,19.3,1248.0,73.9,5.0,3.65,10000.0
917,Tata Sumo DX,Mumbai,2013,20000,Diesel,Manual,First,14.07,1978.0,83.1,10.0,5.25,2000.0
918,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Hyderabad,2016,76000,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,58.0,10857.14
919,Honda City i-VTEC CVT VX,Mumbai,2015,30000,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,8.65,3750.0
920,Tata Indigo eCS eLX BS IV,Delhi,2015,150000,Diesel,Manual,First,25.0,1396.0,69.01,5.0,2.5,18750.0
921,Volkswagen Vento TSI,Chennai,2014,28000,Petrol,Automatic,First,16.93,1197.0,103.6,5.0,7.75,3111.11
922,Maruti Celerio VXI,Bangalore,2015,74000,Petrol,Manual,First,23.1,998.0,67.04,5.0,4.15,9250.0
923,Toyota Fortuner 3.0 Diesel,Delhi,2011,75000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,10.85,6250.0
924,Mitsubishi Outlander 2.4,Delhi,2010,76000,Petrol,Automatic,Second,11.3,2360.0,170.0,5.0,5.53,5846.15
925,Volkswagen Jetta 2007-2011 1.9 Highline TDI,Pune,2014,64889,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,11.5,7209.89
927,Hyundai Creta 1.6 CRDi SX,Kolkata,2015,43000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,9.25,5375.0
928,Skoda Fabia 1.2 MPI Ambiente Petrol,Pune,2011,47490,Petrol,Manual,First,17.5,1198.0,75.0,5.0,2.29,3957.5
929,Ford EcoSport 1.5 TDCi Titanium,Chennai,2015,80000,Diesel,Manual,First,22.77,1498.0,98.59,5.0,7.0,10000.0
930,Maruti Zen Estilo 1.1 LXI BSIII,Bangalore,2007,60000,Petrol,Manual,Second,18.2,1061.0,64.0,5.0,1.65,3750.0
931,Maruti Ciaz 1.4 Delta,Ahmedabad,2017,6006,Petrol,Manual,First,20.73,1373.0,91.1,5.0,8.25,1001.0
932,Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Kochi,2011,71703,Petrol,Automatic,First,14.74,1991.0,181.03,5.0,9.14,5975.25
933,Honda Amaze SX i-VTEC,Hyderabad,2016,33000,Petrol,Manual,First,17.8,1198.0,86.7,5.0,6.5,4714.29
935,Renault Duster 85PS Diesel RxL,Jaipur,2015,91000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.75,11375.0
937,Volkswagen Polo Petrol Highline 1.2L,Kolkata,2011,43000,Petrol,Manual,Second,16.47,1198.0,73.9,5.0,2.1,3583.33
938,Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,2017,63770,Diesel,Manual,First,19.67,1582.0,126.2,5.0,13.55,10628.33
939,Jaguar XF Diesel,Kolkata,2012,43510,Diesel,Automatic,First,14.74,2993.0,270.9,5.0,20.5,3955.45
940,Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,Diesel,Manual,First,16.3,1956.0,170.0,5.0,20.0,8666.67
941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,Diesel,Automatic,First,15.68,1999.0,177.0,5.0,59.72,6285.4
942,Maruti Baleno Alpha Diesel,Kolkata,2016,29000,Diesel,Manual,First,27.39,1248.0,74.0,5.0,6.5,4142.86
943,Maruti Ciaz ZDi SHVS,Ahmedabad,2016,56000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,7.5,8000.0
944,Maruti SX4 Vxi BSIII,Jaipur,2007,76000,Petrol,Manual,Second,15.0,1586.0,104.68,5.0,2.15,4750.0
945,Hyundai Elantra CRDi SX,Coimbatore,2015,53615,Diesel,Manual,First,22.7,1582.0,126.24,5.0,8.44,6701.88
946,Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,12.49,13200.0
947,Volkswagen Ameo 1.2 MPI Comfortline,Pune,2017,14800,Petrol,Manual,First,17.0,1198.0,73.75,5.0,5.48,2466.67
948,Maruti Ritz VXi,Hyderabad,2013,35433,Petrol,Manual,First,18.5,1197.0,85.8,5.0,4.2,3543.3
949,Hyundai Verna CRDi SX,Hyderabad,2013,82966,Diesel,Manual,First,16.8,1493.0,110.0,5.0,7.2,8296.6
950,Maruti Swift Dzire Tour LDI,Jaipur,2014,96000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.8,10666.67
951,Mahindra KUV 100 mFALCON D75 K6,Kochi,2017,39528,Diesel,Manual,First,25.32,1198.0,77.0,6.0,5.83,6588.0
952,Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.39,18411.2
953,Maruti Baleno Delta 1.2,Pune,2016,14930,Petrol,Manual,First,21.4,1197.0,83.1,5.0,5.85,2132.86
954,Honda Jazz VX Diesel,Mumbai,2016,38000,Diesel,Manual,First,27.3,1498.0,98.6,5.0,6.21,5428.57
955,Hyundai i20 1.2 Asta,Delhi,2013,71000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,3.65,7100.0
956,Hyundai i20 Sportz Diesel,Delhi,2012,71000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,3.7,6454.55
957,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Pune,2015,50000,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,30.0,6250.0
958,Hyundai Xcent 1.2 Kappa Base,Kochi,2016,48163,Petrol,Manual,First,19.1,1197.0,82.0,5.0,4.85,6880.43
959,Hyundai Grand i10 AT Asta,Coimbatore,2017,19168,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,6.93,3194.67
960,Maruti Alto 800 VXI,Kolkata,2016,26000,Petrol,Manual,First,22.74,796.0,47.3,5.0,2.6,3714.29
961,Chevrolet Sail Hatchback 1.2 LS,Kolkata,2014,37400,Petrol,Manual,First,18.2,1199.0,82.5,5.0,1.89,4155.56
962,Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,39.5,1736.4
